from_pretrained,input_seg_size,input_seq_len,num_mem_tokens,lr,lr_scheduler,sum_loss,f1,best_valid_f1,f1_std,n_runs,runs
facebook/bart-base,512.0,972,25.0,0.0003,constant_with_warmup,False,0.901960790157318,0.807692289352417,,1,[0.9]
facebook/bart-base,512.0,972,25.0,0.0003,linear,False,0.9140057861804962,0.7996794879436493,0.04156433691762496,2,"[0.88, 0.94]"
facebook/bart-base,512.0,1002,10.0,5e-05,constant_with_warmup,False,0.9230769276618958,0.8297872543334961,0.0,2,"[0.92, 0.92]"
facebook/bart-base,512.0,1002,10.0,5e-05,linear,False,0.9125188589096069,0.7920696437358856,0.014931364021954547,2,"[0.92, 0.9]"
facebook/bart-base,512.0,1002,10.0,0.0001,constant_with_warmup,False,0.912895917892456,0.8312402069568634,0.039994746132230724,2,"[0.94, 0.88]"
facebook/bart-base,512.0,1002,10.0,0.0001,linear,False,0.9411764740943908,0.8477541506290436,0.0,2,"[0.94, 0.94]"
facebook/bart-base,512.0,1012,5.0,5e-05,constant_with_warmup,False,0.9230769276618958,0.8430769145488739,0.0,2,"[0.92, 0.92]"
facebook/bart-base,512.0,1012,5.0,5e-05,linear,False,0.9321267008781433,0.7751356065273285,0.012798312018818042,2,"[0.94, 0.92]"
facebook/bart-base,512.0,1012,5.0,0.0001,constant_with_warmup,False,0.9215384721755981,0.8213652670383453,0.0021757046138294895,2,"[0.92, 0.92]"
facebook/bart-base,512.0,1012,5.0,0.0001,linear,False,0.9230769276618958,0.8172541856765747,0.0,2,"[0.92, 0.92]"
facebook/bart-base,512.0,1383,50.0,5e-05,constant_with_warmup,False,0.8999599814414978,0.8085369765758514,0.0028295708216273426,2,"[0.9, 0.9]"
facebook/bart-base,512.0,1383,50.0,5e-05,linear,False,0.8951378762722015,0.7788220345973969,0.014881082831680933,2,"[0.88, 0.91]"
facebook/bart-base,512.0,1383,50.0,0.0001,constant_with_warmup,False,0.9056603908538818,0.8333333134651184,0.0,2,"[0.91, 0.91]"
facebook/bart-base,512.0,1383,50.0,0.0001,linear,False,0.9226785004138947,0.8002645373344421,0.029299266826166754,2,"[0.9, 0.94]"
facebook/bart-base,512.0,1458,25.0,5e-05,constant_with_warmup,False,0.9038105905056,0.8248081803321838,0.002616012740222721,2,"[0.9, 0.91]"
facebook/bart-base,512.0,1458,25.0,5e-05,linear,False,0.9015384614467621,0.8241852521896362,0.030459991034156735,2,"[0.92, 0.88]"
facebook/bart-base,512.0,1458,25.0,0.0001,constant_with_warmup,False,0.9454545378684998,0.8649350702762604,0.0,2,"[0.95, 0.95]"
facebook/bart-base,512.0,1458,25.0,0.0001,linear,False,0.8799999952316284,0.8248081803321838,0.0,2,"[0.88, 0.88]"
facebook/bart-base,512.0,1458,25.0,0.0003,constant_with_warmup,False,0.8972746431827545,0.8070707023143768,0.011859238087146852,2,"[0.91, 0.89]"
facebook/bart-base,512.0,1458,25.0,0.0003,linear,False,0.8951378762722015,0.758846253156662,0.014881082831680933,2,"[0.88, 0.91]"
facebook/bart-base,512.0,1503,10.0,5e-05,constant_with_warmup,False,0.9324618875980376,0.8442553281784058,0.04313506566792896,2,"[0.9, 0.96]"
facebook/bart-base,512.0,1503,10.0,5e-05,linear,False,0.908979594707489,0.7564935088157654,0.015585230229752322,2,"[0.9, 0.92]"
facebook/bart-base,512.0,1503,10.0,0.0001,constant_with_warmup,False,0.9230769276618958,0.8361203968524933,0.0,2,"[0.92, 0.92]"
facebook/bart-base,512.0,1503,10.0,0.0001,linear,False,0.9321267008781433,0.7759197354316711,0.012798312018818042,2,"[0.94, 0.92]"
facebook/bart-base,512.0,1518,5.0,5e-05,constant_with_warmup,False,0.9230769276618958,0.8212067484855652,0.0,2,"[0.92, 0.92]"
facebook/bart-base,512.0,1518,5.0,5e-05,linear,False,0.8685714304447174,0.7944444417953491,0.01616243132010913,2,"[0.86, 0.88]"
facebook/bart-base,512.0,1518,5.0,0.0001,constant_with_warmup,False,0.8849426507949829,0.807407408952713,0.024067283492569744,2,"[0.87, 0.9]"
facebook/bart-base,512.0,1518,5.0,0.0001,linear,False,0.9411764740943908,0.8425925970077515,0.0,2,"[0.94, 0.94]"
facebook/bart-base,512.0,1944,25.0,5e-05,constant_with_warmup,False,0.942286342382431,0.8290908932685852,0.0015695907853943223,2,"[0.94, 0.94]"
facebook/bart-base,512.0,1944,25.0,5e-05,linear,False,0.9206776916980743,0.7595038115978241,0.032128837647794097,2,"[0.9, 0.94]"
facebook/bart-base,512.0,1944,25.0,0.0001,constant_with_warmup,False,0.9157931506633759,0.7931034564971924,0.014329886346855579,2,"[0.91, 0.93]"
facebook/bart-base,512.0,1944,25.0,0.0001,linear,False,0.9226785004138947,0.8458164632320404,0.029299266826166754,2,"[0.9, 0.94]"
facebook/bart-base,512.0,1944,25.0,0.0003,constant_with_warmup,False,0.9454545378684998,0.8518518805503845,,1,[0.95]
facebook/bart-base,512.0,1944,25.0,0.0003,linear,False,0.8951378762722015,0.774216502904892,0.014881082831680933,2,"[0.88, 0.91]"
facebook/bart-base,512.0,2004,10.0,5e-05,constant_with_warmup,False,0.9414815008640288,0.7979937791824341,0.03037940625980391,2,"[0.92, 0.96]"
facebook/bart-base,512.0,2004,10.0,5e-05,linear,False,0.9200000166893004,0.7305555641651154,0.0,2,"[0.92, 0.92]"
