from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,model_path,f1,best_valid_f1,precision,best_valid_precision,recall,best_valid_recall,accuracy,best_valid_accuracy
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,968,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_968_mem25_sum_loss/run_2,0.9811320900917053,0.8888888955116272,1.0,1.0,0.9629629850387573,0.9230769276618958,0.9848484992980957,0.90625
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1452,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1452_mem25_sum_loss/run_3,0.9411764740943909,0.8399999737739563,1.0,1.0,0.8888888955116272,1.0,0.9545454382896423,0.875
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1452,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1452_mem25_sum_loss/run_2,0.9411764740943909,0.8085106611251831,1.0,1.0,0.8888888955116272,1.0,0.9545454382896423,0.859375
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1996,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1996_mem10_sum_loss/run_3,0.9411764740943909,0.8679245114326477,1.0,1.0,0.8888888955116272,1.0,0.9545454382896423,0.890625
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1996,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1996_mem10_sum_loss/run_2,0.9411764740943909,0.7727272510528564,1.0,1.0,0.8888888955116272,0.6538461446762085,0.9545454382896423,0.84375
bert-base-cased,,modeling_rmt_sum_loss:RMTEncoderForSequenceClassification,encoder,5e-05,2,4,constant_with_warmup,1497,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/bert-base-cased/lr5e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10_sum_loss/run_1,,0.8085106611251831,,0.9285714030265808,,0.8461538553237915,,0.859375
bert-base-cased,,modeling_rmt_sum_loss:RMTEncoderForSequenceClassification,encoder,5e-05,2,4,constant_with_warmup,1497,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/bert-base-cased/lr5e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10_sum_loss/run_1,,0.7142857313156128,,1.0,,1.0,,0.8125
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1497,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/bert-base-cased/lr1e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10_sum_loss/run_3,0.9230769276618958,0.782608687877655,0.9599999785423279,0.9375,0.8888888955116272,0.7307692170143127,0.939393937587738,0.84375
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1497,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/bert-base-cased/lr1e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10_sum_loss/run_2,0.9230769276618958,0.7169811129570007,0.9599999785423279,0.8823529481887817,0.8888888955116272,0.7307692170143127,0.939393937587738,0.796875
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,998,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/bert-base-cased/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10_sum_loss/run_3,0.9019607901573181,0.8085106611251831,0.9583333134651184,1.0,0.8518518805503845,0.7307692170143127,0.9242424368858337,0.859375
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,998,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/bert-base-cased/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10_sum_loss/run_2,0.9411764740943909,0.7083333134651184,1.0,0.8999999761581421,0.8888888955116272,0.692307710647583,0.9545454382896423,0.78125
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,968,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/bert-base-cased/lr1e-05_constant_with_warmup_adamw_wd1e-03_968_mem25_sum_loss/run_3,0.8846153616905212,0.7555555701255798,0.9200000166893005,1.0,0.8518518805503845,0.692307710647583,0.9090909361839294,0.828125
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,968,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/bert-base-cased/lr1e-05_constant_with_warmup_adamw_wd1e-03_968_mem25_sum_loss/run_2,0.8846153616905212,0.7450980544090271,0.9200000166893005,1.0,0.8518518805503845,0.7307692170143127,0.9090909361839294,0.796875
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1452,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/bert-base-cased/lr1e-05_constant_with_warmup_adamw_wd1e-03_1452_mem25_sum_loss/run_3,0.9019607901573181,0.7692307829856873,0.9583333134651184,0.782608687877655,0.8518518805503845,1.0,0.9242424368858337,0.8125
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1452,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/bert-base-cased/lr1e-05_constant_with_warmup_adamw_wd1e-03_1452_mem25_sum_loss/run_2,0.9230769276618958,0.7843137383460999,0.9599999785423279,0.9166666865348816,0.8888888955116272,0.8461538553237915,0.939393937587738,0.828125
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1996,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/bert-base-cased/lr1e-05_constant_with_warmup_adamw_wd1e-03_1996_mem10_sum_loss/run_3,0.9411764740943909,0.7272727489471436,1.0,1.0,0.8888888955116272,0.7692307829856873,0.9545454382896423,0.765625
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1996,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/bert-base-cased/lr1e-05_constant_with_warmup_adamw_wd1e-03_1996_mem10_sum_loss/run_2,0.9230769276618958,0.7169811129570007,0.9599999785423279,0.8571428656578064,0.8888888955116272,1.0,0.939393937587738,0.796875
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,4,constant_with_warmup,3992,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_3992_mem10/run_1,,0.8181818127632141,,1.0,,1.0,,0.875
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,4,constant_with_warmup,3992,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_3992_mem10/run_1,0.9629629850387573,0.8627451062202454,0.9629629850387573,1.0,0.9629629850387573,1.0,0.970588207244873,0.890625
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,4,constant_with_warmup,3872,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_3872_mem10/run_1,0.9811320900917053,0.8695651888847351,1.0,1.0,0.9629629850387573,0.807692289352417,0.9852941036224365,0.90625
roberta-base,,modeling_rmt_sum_loss:RMTEncoderForSequenceClassification,encoder,5e-05,2,4,constant_with_warmup,1996,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_1996_mem10_sum_loss/run_1,0.9433962106704712,0.8695651888847351,0.9615384340286255,1.0,0.9259259104728699,0.9615384340286255,0.9558823704719543,0.90625
roberta-base,,modeling_rmt_sum_loss:RMTEncoderForSequenceClassification,encoder,5e-05,2,4,constant_with_warmup,1497,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10_sum_loss/run_1,0.9259259104728699,0.8571428656578064,0.9259259104728699,1.0,0.9259259104728699,1.0,0.9411764740943909,0.890625
roberta-base,,modeling_rmt_sum_loss:RMTEncoderForSequenceClassification,encoder,5e-05,2,4,constant_with_warmup,998,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_998_mem10_sum_loss/run_1,0.9230769276618958,0.875,0.9599999785423279,1.0,0.8888888955116272,1.0,0.9411764740943909,0.90625
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1497,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10_sum_loss/run_3,0.9411764740943909,0.8799999952316284,1.0,1.0,0.8888888955116272,1.0,0.9545454382896423,0.90625
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1497,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10_sum_loss/run_2,0.9615384340286255,0.8571428656578064,1.0,0.9523809552192688,0.9259259104728699,0.807692289352417,0.9696969985961914,0.890625
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,998,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10_sum_loss/run_3,0.9411764740943909,0.8571428656578064,1.0,1.0,0.8888888955116272,1.0,0.9545454382896423,0.890625
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,998,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10_sum_loss/run_2,0.9433962106704712,0.9200000166893005,0.9615384340286255,0.9583333134651184,0.9259259104728699,0.9230769276618958,0.9545454382896423,0.9375
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,968,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_968_mem25_sum_loss/run_3,0.9411764740943909,0.8727272748947144,1.0,0.9473684430122375,0.8888888955116272,0.9230769276618958,0.9545454382896423,0.890625
