task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,segment_ordering,padding_side,model_path,sum_loss,inter_layer_memory,num_steps,best_valid_rouge/geometric_mean
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr1e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_rep_first/run_1,True,False,3200,14.85990047454834
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,linear,1503,,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr5e-05_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200_sl_rep_first/run_2,True,False,3200,13.463299751281738
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,linear,1503,,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr5e-05_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200_sl_rep_first/run_1,True,False,3200,13.188400268554688
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200/run_2,False,False,3200,12.822099685668945
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200/run_1,False,False,3200,12.272600173950195
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,501,,0.0,regular,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_501-1024_mem0_bs8_iters3200_sl_regular/run_2,True,False,3200,16.854299545288086
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,501,,0.0,regular,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_501-1024_mem0_bs8_iters3200_sl_regular/run_1,True,False,160,14.034299850463867
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1024,256.0,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1024-1024_mem10_bs8_iters3200_sl_rep_first_seg256/run_2,True,False,3200,14.451499938964844
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1024,256.0,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1024-1024_mem10_bs8_iters3200_sl_rep_first_seg256/run_1,True,False,3200,13.828200340270996
qmsum,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,512,,,,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_512-1024_bs8_iters3200_bl/run_1,,,3200,16.60420036315918
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,501,,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_501-1024_mem10_bs8_iters3200_sl_repeat_first/run_2,True,False,3200,16.109500885009766
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,501,,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_501-1024_mem10_bs8_iters3200_sl_repeat_first/run_1,True,False,3200,15.865500450134277
