from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,num_mem_tokens,f1,best_valid_f1,precision,best_valid_precision,recall,best_valid_recall,accuracy,best_valid_accuracy,model_path
roberta-base,,modeling_rmt_debug:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9629629850387573,0.8799999952316284,0.9629629850387573,0.9333333373069763,0.9629629850387573,1.0,0.970588207244873,0.90625,../runs/finetune/hyperpartisan_news_detection/roberta-base/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
roberta-base,,modeling_rmt_debug:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9811320900917053,0.8571428656578064,1.0,0.9130434989929199,0.9629629850387573,1.0,0.9852941036224365,0.890625,../runs/finetune/hyperpartisan_news_detection/roberta-base/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
roberta-base,,modeling_rmt_debug:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9811320900917053,0.8679245114326477,1.0,0.949999988079071,0.9629629850387573,1.0,0.9852941036224365,0.890625,../runs/finetune/hyperpartisan_news_detection/roberta-base/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
roberta-base,,modeling_rmt_debug:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9811320900917053,0.9230769276618958,1.0,0.9230769276618958,0.9629629850387573,0.9230769276618958,0.9852941036224365,0.9375,../runs/finetune/hyperpartisan_news_detection/roberta-base/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
roberta-base,,modeling_rmt_debug:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9629629850387573,0.9056603908538818,0.9629629850387573,1.0,0.9629629850387573,1.0,0.970588207244873,0.921875,../runs/finetune/hyperpartisan_news_detection/roberta-base/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_1
roberta-base,,modeling_rmt_debug:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9615384340286255,0.8799999952316284,1.0,1.0,0.9259259104728699,0.8461538553237915,0.970588207244873,0.90625,../runs/finetune/hyperpartisan_news_detection/roberta-base/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_1
roberta-base,,modeling_rmt_debug:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9454545378684998,0.8846153616905212,0.9285714030265808,0.9130434989929199,0.9629629850387573,1.0,0.9558823704719543,0.90625,../runs/finetune/hyperpartisan_news_detection/roberta-base/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_1
roberta-base,,modeling_rmt_debug:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9433962106704712,0.8571428656578064,0.9615384340286255,1.0,0.9259259104728699,0.8461538553237915,0.9558823704719543,0.890625,../runs/finetune/hyperpartisan_news_detection/roberta-base/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_1
roberta-base,,modeling_rmt_debug:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,512,0,0.9615384340286255,0.8799999952316284,1.0,0.949999988079071,0.9259259104728699,0.9615384340286255,0.970588207244873,0.90625,../runs/finetune/hyperpartisan_news_detection/roberta-base/lr1e-05_linear_adamw_wd1e-03_512_mem0/run_1
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,2,linear,256,0,0.9411764740943909,0.7916666865348816,1.0,0.8947368264198303,0.8888888955116272,0.9230769276618958,0.9545454382896423,0.84375,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_256_mem0_seg256/run_2
