task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,segment_ordering,padding_side,model_path,sum_loss,inter_layer_memory,num_steps,best_valid_f1
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1503,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs32_iters1600_sl/run_1,True,False,1600,9.790599822998047
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,4,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr1e-03_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl_rep_first/run_3,True,False,1600,16.162900924682617
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,4,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr1e-03_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl_rep_first/run_2,True,False,1600,14.493800163269043
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,4,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr1e-03_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl_rep_first/run_1,True,False,1600,14.904600143432617
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1503,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs32_iters1600_sl_rep_first/run_3,True,False,1600,14.350600242614746
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1503,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs32_iters1600_sl_rep_first/run_2,True,False,1600,15.375100135803223
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1503,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs32_iters1600_sl_rep_first/run_1,True,False,1600,13.50570011138916
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,1503,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs32_iters1600_sl_rep_first/run_1,True,False,0,0.0
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_rep_first/run_2,False,False,1600,15.11970043182373
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_rep_first/run_1,False,False,1600,15.166299819946289
